permutation,outer_fold,aria,role,sources,segments,movable_rows,singleton_rows,movable_fraction,expected_fixed_rows_uniform_within_source,expected_fixed_fraction_uniform_within_source
0,0,Che gelida manina,train,144,2054,2054,0,1.0,144,0.07010710808179163
0,0,Che gelida manina,dev,36,553,553,0,1.0,36,0.0650994575045208
0,0,Che gelida manina,test,47,849,849,0,1.0,47,0.05535924617196702
0,1,E lucevan le stelle,train,164,2559,2559,0,1.0,164,0.06408753419304415
0,1,E lucevan le stelle,dev,41,614,614,0,1.0,41,0.06677524429967427
0,1,E lucevan le stelle,test,22,283,283,0,1.0,22,0.07773851590106007
0,2,Nessun dorma,train,140,2313,2313,0,1.0,140,0.06052745352356247
0,2,Nessun dorma,dev,35,537,537,0,1.0,35,0.06517690875232775
0,2,Nessun dorma,test,52,606,606,0,1.0,52,0.0858085808580858
0,3,Una furtiva lagrima,train,129,1789,1789,0,1.0,129,0.07210732252655115
0,3,Una furtiva lagrima,dev,33,436,436,0,1.0,33,0.07568807339449542
0,3,Una furtiva lagrima,test,65,1231,1231,0,1.0,65,0.05280259951259139
0,4,Vesti la giubba,train,164,2562,2562,0,1.0,164,0.06401249024199844
0,4,Vesti la giubba,dev,42,632,632,0,1.0,42,0.06645569620253164
0,4,Vesti la giubba,test,21,262,262,0,1.0,21,0.08015267175572519
0,5,La donna e mobile,train,165,2566,2566,0,1.0,165,0.06430241621200312
0,5,La donna e mobile,dev,42,665,665,0,1.0,42,0.06315789473684211
0,5,La donna e mobile,test,20,225,225,0,1.0,20,0.08888888888888889
1,0,Che gelida manina,train,144,2054,2054,0,1.0,144,0.07010710808179163
1,0,Che gelida manina,dev,36,553,553,0,1.0,36,0.0650994575045208
1,0,Che gelida manina,test,47,849,849,0,1.0,47,0.05535924617196702
1,1,E lucevan le stelle,train,164,2559,2559,0,1.0,164,0.06408753419304415
1,1,E lucevan le stelle,dev,41,614,614,0,1.0,41,0.06677524429967427
1,1,E lucevan le stelle,test,22,283,283,0,1.0,22,0.07773851590106007
1,2,Nessun dorma,train,140,2313,2313,0,1.0,140,0.06052745352356247
1,2,Nessun dorma,dev,35,537,537,0,1.0,35,0.06517690875232775
1,2,Nessun dorma,test,52,606,606,0,1.0,52,0.0858085808580858
1,3,Una furtiva lagrima,train,129,1789,1789,0,1.0,129,0.07210732252655115
1,3,Una furtiva lagrima,dev,33,436,436,0,1.0,33,0.07568807339449542
1,3,Una furtiva lagrima,test,65,1231,1231,0,1.0,65,0.05280259951259139
1,4,Vesti la giubba,train,164,2562,2562,0,1.0,164,0.06401249024199844
1,4,Vesti la giubba,dev,42,632,632,0,1.0,42,0.06645569620253164
1,4,Vesti la giubba,test,21,262,262,0,1.0,21,0.08015267175572519
1,5,La donna e mobile,train,165,2566,2566,0,1.0,165,0.06430241621200312
1,5,La donna e mobile,dev,42,665,665,0,1.0,42,0.06315789473684211
1,5,La donna e mobile,test,20,225,225,0,1.0,20,0.08888888888888889
2,0,Che gelida manina,train,144,2054,2054,0,1.0,144,0.07010710808179163
2,0,Che gelida manina,dev,36,553,553,0,1.0,36,0.0650994575045208
2,0,Che gelida manina,test,47,849,849,0,1.0,47,0.05535924617196702
2,1,E lucevan le stelle,train,164,2559,2559,0,1.0,164,0.06408753419304415
2,1,E lucevan le stelle,dev,41,614,614,0,1.0,41,0.06677524429967427
2,1,E lucevan le stelle,test,22,283,283,0,1.0,22,0.07773851590106007
2,2,Nessun dorma,train,140,2313,2313,0,1.0,140,0.06052745352356247
2,2,Nessun dorma,dev,35,537,537,0,1.0,35,0.06517690875232775
2,2,Nessun dorma,test,52,606,606,0,1.0,52,0.0858085808580858
2,3,Una furtiva lagrima,train,129,1789,1789,0,1.0,129,0.07210732252655115
2,3,Una furtiva lagrima,dev,33,436,436,0,1.0,33,0.07568807339449542
2,3,Una furtiva lagrima,test,65,1231,1231,0,1.0,65,0.05280259951259139
2,4,Vesti la giubba,train,164,2562,2562,0,1.0,164,0.06401249024199844
2,4,Vesti la giubba,dev,42,632,632,0,1.0,42,0.06645569620253164
2,4,Vesti la giubba,test,21,262,262,0,1.0,21,0.08015267175572519
2,5,La donna e mobile,train,165,2566,2566,0,1.0,165,0.06430241621200312
2,5,La donna e mobile,dev,42,665,665,0,1.0,42,0.06315789473684211
2,5,La donna e mobile,test,20,225,225,0,1.0,20,0.08888888888888889
3,0,Che gelida manina,train,144,2054,2054,0,1.0,144,0.07010710808179163
3,0,Che gelida manina,dev,36,553,553,0,1.0,36,0.0650994575045208
3,0,Che gelida manina,test,47,849,849,0,1.0,47,0.05535924617196702
3,1,E lucevan le stelle,train,164,2559,2559,0,1.0,164,0.06408753419304415
3,1,E lucevan le stelle,dev,41,614,614,0,1.0,41,0.06677524429967427
3,1,E lucevan le stelle,test,22,283,283,0,1.0,22,0.07773851590106007
3,2,Nessun dorma,train,140,2313,2313,0,1.0,140,0.06052745352356247
3,2,Nessun dorma,dev,35,537,537,0,1.0,35,0.06517690875232775
3,2,Nessun dorma,test,52,606,606,0,1.0,52,0.0858085808580858
3,3,Una furtiva lagrima,train,129,1789,1789,0,1.0,129,0.07210732252655115
3,3,Una furtiva lagrima,dev,33,436,436,0,1.0,33,0.07568807339449542
3,3,Una furtiva lagrima,test,65,1231,1231,0,1.0,65,0.05280259951259139
3,4,Vesti la giubba,train,164,2562,2562,0,1.0,164,0.06401249024199844
